participant_id,condition,trial_number,trial_type,target_x,target_y,target_radius,target_onset_timestamp_ms,click_timestamp_ms,reaction_time_ms,session_elapsed_ms,hit,cumulative_score
Dionysenguin,visual,1,practice,325,185,28,1773364813609,1773364814453,844,845,0,0
Dionysenguin,visual,2,practice,762,328,28,1773364814913,1773364815537,624,1929,1,1
Dionysenguin,visual,3,practice,469,358,28,1773364815994,1773364816686,692,3078,1,2
Dionysenguin,visual,4,practice,636,304,28,1773364817148,1773364817518,370,3910,1,3
Dionysenguin,visual,5,practice,857,259,28,1773364817978,1773364818419,441,4811,1,4
Dionysenguin,visual,6,experimental,607,217,28,1773364821833,1773364822571,738,8963,1,5
Dionysenguin,visual,7,experimental,808,370,28,1773364823031,1773364823469,438,9861,1,6
Dionysenguin,visual,8,experimental,531,381,28,1773364823928,1773364824584,656,10976,1,7
Dionysenguin,visual,9,experimental,732,375,28,1773364825042,1773364825630,588,12022,1,8
Dionysenguin,visual,10,experimental,963,473,28,1773364826089,1773364826632,543,13024,1,9
Dionysenguin,visual,11,experimental,180,331,28,1773364827093,1773364828074,981,14466,1,10
Dionysenguin,visual,12,experimental,486,358,28,1773364828533,1773364828737,204,15129,1,11
Dionysenguin,visual,13,experimental,695,419,28,1773364829195,1773364829634,439,16026,1,12
Dionysenguin,visual,14,experimental,555,325,28,1773364830094,1773364830263,169,16655,1,13
Dionysenguin,visual,15,experimental,51,209,28,1773364830718,1773364831394,676,17786,1,14
Dionysenguin,visual,16,experimental,564,222,28,1773364831854,1773364832362,508,18754,1,15
Dionysenguin,visual,17,experimental,380,314,28,1773364832823,1773364833142,319,19534,0,15
Dionysenguin,visual,18,experimental,649,511,28,1773364833602,1773364834092,490,20484,1,16
Dionysenguin,visual,19,experimental,367,222,28,1773364834553,1773364835062,509,21454,1,17
Dionysenguin,visual,20,experimental,728,258,28,1773364835524,1773364836009,485,22401,1,18
Dionysenguin,visual,21,experimental,868,586,28,1773364836470,1773364837162,692,23554,1,19
Dionysenguin,visual,22,experimental,109,513,28,1773364837622,1773364838300,678,24692,1,20
Dionysenguin,visual,23,experimental,704,157,28,1773364838759,1773364839267,508,25659,1,21
Dionysenguin,visual,24,experimental,263,138,28,1773364839727,1773364840205,478,26597,1,22
Dionysenguin,visual,25,experimental,722,424,28,1773364840665,1773364841035,370,27427,1,23
