participant_id,condition,trial_number,trial_type,target_x,target_y,target_radius,target_onset_timestamp_ms,click_timestamp_ms,reaction_time_ms,session_elapsed_ms,hit,cumulative_score
a,visual,1,practice,411,422,28,1773351686909,1773351687481,572,572,1,1
a,visual,2,practice,141,561,28,1773351687943,1773351688365,422,1456,1,2
a,visual,3,practice,302,494,28,1773351688824,1773351688994,170,2085,1,3
a,visual,4,practice,625,495,28,1773351689451,1773351689670,219,2761,1,4
a,visual,5,practice,616,240,28,1773351690131,1773351690333,202,3424,1,5
a,visual,6,experimental,45,241,28,1773351692051,1773351692882,831,5973,1,6
a,visual,7,experimental,511,577,28,1773351693340,1773351693638,298,6729,1,7
a,visual,8,experimental,926,468,28,1773351694100,1773351694284,184,7375,1,8
a,visual,9,experimental,428,524,28,1773351694745,1773351694962,217,8053,1,9
a,visual,10,experimental,575,554,28,1773351695422,1773351695636,214,8727,1,10
a,visual,11,experimental,729,227,28,1773351696095,1773351696361,266,9452,1,11
a,visual,12,experimental,531,316,28,1773351696821,1773351696935,114,10026,0,11
a,visual,13,experimental,439,454,28,1773351697402,1773351697542,140,10633,1,12
a,visual,14,experimental,941,321,28,1773351698001,1773351698185,184,11276,1,13
a,visual,15,experimental,721,249,28,1773351698646,1773351698845,199,11936,1,14
a,visual,16,experimental,178,660,28,1773351699307,1773351699593,286,12684,1,15
a,visual,17,experimental,232,225,28,1773351700052,1773351700405,353,13496,1,16
a,visual,18,experimental,688,362,28,1773351700862,1773351701161,299,14252,1,17
a,visual,19,experimental,488,667,28,1773351701616,1773351701800,184,14891,1,18
a,visual,20,experimental,629,588,28,1773351702257,1773351702472,215,15563,1,19
a,visual,21,experimental,310,451,28,1773351702930,1773351703248,318,16339,1,20
a,visual,22,experimental,109,245,28,1773351703710,1773351703979,269,17070,1,21
a,visual,23,experimental,845,160,28,1773351704440,1773351704742,302,17833,1,22
a,visual,24,experimental,543,150,28,1773351705201,1773351705470,269,18561,1,23
a,visual,25,experimental,299,282,28,1773351705930,1773351706148,218,19239,1,24
